C,ratio,per
0.01, 0.7560534856255284, 20
0.03, 0.5539132745679368, 20
0.05, 0.4938504983223937, 20
0.07, 0.47803376081122473, 20
0.11, 0.4218719444798874, 20
0.13, 0.3958804718895585, 20
0.15, 0.37494970319565957, 20
0.17, 0.3555513488684848, 20
0.19, 0.3391753428199967, 20
0.21, 0.32460666553834644, 20
0.23, 0.31035744135082716, 20
0.25, 0.2985382428706334, 20
0.27, 0.2981935729193346, 20
0.29, 0.2887096113263642, 20
0.31, 0.2803516696442872, 20
0.33, 0.2730574089558649, 20
0.35, 0.26599755627611055, 20
0.37, 0.25977977137169045, 20
0.39, 0.25374271974901946, 20
0.41, 0.24787779998617315, 20
0.43, 0.24329443019389527, 20
0.45, 0.23876927105071197, 20
0.47, 0.23436388384938764, 20
0.49, 0.23026548599845503, 20
0.51, 0.22623754921027892, 20
0.53, 0.22249579537516267, 20
0.55, 0.21920548914171425, 20
0.57, 0.21670052300892856, 20
0.59, 0.21356092853402447, 20
0.61, 0.21140316525366026, 20
0.63, 0.20898932682839627, 20
0.65, 0.2070140278967434, 20
0.67, 0.2050602505756574, 20
0.69, 0.20318645587977105, 20
0.71, 0.20167428411649688, 20
0.73, 0.19973085067042676, 20
0.75, 0.1982430017920882, 20
0.77, 0.19683599529910104, 20
0.79, 0.19546855642752575, 20
0.81, 0.19438472749718688, 20
0.83, 0.19269959784748156, 20
0.85, 0.1919750340236515, 20
0.87, 0.19165172785621434, 20
0.89, 0.19745715623344243, 20
0.91, 0.19641849584175763, 20
0.93, 0.19575127699064587, 20
0.95, 0.19404713658355344, 20
0.97, 0.19343221508861916, 20
0.99, 0.1924985522594112, 20
0.01, 0.7560534856255284, 20
0.012, 0.7533243417942671, 20
0.013, 0.7370017211982661, 20
0.015, 0.7067769250853261, 20
0.018, 0.6656090530559224, 20
0.019, 0.6544172365393136, 20
0.02, 0.6432234772169094, 20
0.021, 0.6322490446978235, 20
0.022, 0.6219800383793045, 20
0.024, 0.6045116602856424, 20
0.029, 0.5618976117064978, 20
0.03, 0.5539132745679368, 20
0.032, 0.5406933900107237, 20
0.033, 0.5344215223429138, 20
0.035, 0.5231045281457507, 20
0.036, 0.5200277456497018, 20
