n_ap,ratio
31.0,0.28159015102804985
18.0,0.4375962570853035
15.0,0.48523533829144877
13.0,0.5413929887400192
11.0,0.6292462340936371
8.0,0.7685504384785299
8.0,0.7787150193330302
6.0,0.8594893937435395
6.0,0.8592257206466898
4.0,0.9312424638318255
4.0,0.9274752388891423
5.0,0.8982445930414462
5.0,0.9033097376312622
3.0,0.952319481555681
3.0,0.9528279497588477
3.0,0.9531673202564293
3.0,0.9535827240703538
3.0,0.9542844713876318
3.0,0.9547910807610194
3.0,0.9552113201926663
3.0,0.9559894919644335
3.0,0.956563090574268
4.0,0.9355336021981407
4.0,0.9333272680053895
4.0,0.9349312744830302
4.0,0.9366596589453657
2.0,0.9510158709757189
31.0,0.28159015102804985
29.0,0.30295227753455
27.0,0.3203969486095628
25.0,0.3451675625675511
24.0,0.35589617030757387
22.0,0.37594649491940046
21.0,0.38933219977325007
20.0,0.4034616195486977
19.0,0.41712455471469456
18.0,0.4375962570853035
19.0,0.42010507351395054
18.0,0.4323781842415546
18.0,0.4374121518341611
18.0,0.4304489353603744
17.0,0.44628410855278217
17.0,0.4536977377494279
17.0,0.4553509664888582
16.0,0.46657217225376285
16.0,0.4706103394038941
15.0,0.48523533829144877
16.0,0.4748298141948464
16.0,0.47062627327268375
16.0,0.48211920041305734
15.0,0.49617967561719206
15.0,0.49586240193866427
15.0,0.4966685734575342
14.0,0.5252274985798879
13.0,0.5435980874742197
13.0,0.5408149415344539
13.0,0.5413929887400192
13.0,0.5523503236192683
13.0,0.5573771893761942
12.0,0.580597596783841
12.0,0.5827951628342449
12.0,0.5795123749636534
12.0,0.582300984169746
12.0,0.5845272867127813
12.0,0.5860099844627146
12.0,0.5932666847739851
11.0,0.6292462340936371
10.0,0.6717662679960281
9.0,0.7250067189878191
9.0,0.7150626726216778
9.0,0.7203669614439203
10.0,0.6716538722016735
10.0,0.6702571578033527
10.0,0.6751014760587482
10.0,0.6726262692755337
10.0,0.681664895684989
8.0,0.7685504384785299
8.0,0.7712629432982376
8.0,0.7724570490797293
8.0,0.774659910527289
8.0,0.7754360761146064
8.0,0.7766995382045757
52.0,0.19581085594852085
47.0,0.19805889849024633
43.0,0.21184663653050836
39.0,0.23177410020918415
35.0,0.2558136250659352
31.0,0.28159015102804985
29.0,0.30295227753455
27.0,0.3203969486095628
25.0,0.3451675625675511
24.0,0.35589617030757387
22.0,0.37594649491940046
21.0,0.38933219977325007
20.0,0.4034616195486977
20.0,0.40330780147642037
