n_ap,ratio,C
33.0,0.3700260386977361,0.05
31.0,0.39272065121368827,0.05
28.0,0.41419025925730263,0.05
27.0,0.4296732010429136,0.05
25.0,0.4461882299115032,0.05
23.0,0.45946440915938647,0.05
22.0,0.470431066645016,0.05
21.0,0.48098823022410475,0.05
21.0,0.4808929880136759,0.05
20.0,0.49064680393791466,0.05
20.0,0.4938504983223937,0.05
20.0,0.49381871628513446,0.05
20.0,0.4895114979371792,0.05
20.0,0.4972948454579886,0.05
19.0,0.5027788560166235,0.05
18.0,0.5153922064528456,0.05
18.0,0.5218880992724406,0.05
18.0,0.5313731664013416,0.05
17.0,0.5482228548043101,0.05
17.0,0.5508221075098121,0.05
16.0,0.5745169000997217,0.05
17.0,0.5506847095796489,0.05
17.0,0.5540190074211119,0.05
17.0,0.563887179940823,0.05
16.0,0.5859414298751096,0.05
15.0,0.6283970983542114,0.05
15.0,0.6257070722734536,0.05
16.0,0.6013722053132886,0.05
14.0,0.6544225879614894,0.05
15.0,0.6282273546966276,0.05
15.0,0.6323830839115483,0.05
15.0,0.6381389174643671,0.05
15.0,0.6435941274500797,0.05
14.0,0.6704581124801959,0.05
13.0,0.7010710158868677,0.05
13.0,0.6992231553246063,0.05
13.0,0.7018319818300695,0.05
13.0,0.7054022302099328,0.05
13.0,0.7069969622921637,0.05
12.0,0.7349611296040073,0.05
12.0,0.7387070827302502,0.05
11.0,0.7742118257873689,0.05
11.0,0.7645906892196025,0.05
11.0,0.7647333211576698,0.05
11.0,0.7647731567499719,0.05
11.0,0.7649085504416574,0.05
11.0,0.7667244638835733,0.05
11.0,0.7691916513431166,0.05
11.0,0.7746294547603515,0.05
10.0,0.7965442310054541,0.05
10.0,0.7951205012915504,0.05
10.0,0.7974081364014048,0.05
9.0,0.8249645355278643,0.05
9.0,0.8251986955641174,0.05
9.0,0.82581540898926,0.05
9.0,0.8252010843271548,0.05
9.0,0.8262761768258785,0.05
9.0,0.8266487697729064,0.05
9.0,0.8272422625607689,0.05
9.0,0.8278865716433604,0.05
9.0,0.828354238054892,0.05
9.0,0.8298090056653932,0.05
9.0,0.8319757715936925,0.05
9.0,0.8349652932688942,0.05
8.0,0.8542555412195182,0.05
8.0,0.8537930824117622,0.05
8.0,0.8543875235872,0.05
7.0,0.8798531216499239,0.05
