n_ap,ratio,C,n_pre_ap
33.0,0.5679009279906172,0.01,28
27.0,0.6668824741022842,0.01,22
22.0,0.750790682540238,0.01,18
21.0,0.7560534856255284,0.01,15
22.0,0.7492994756347477,0.01,14
20.0,0.7667978614831166,0.01,12
19.0,0.7983880974297958,0.01,11
18.0,0.8093324301771018,0.01,10
16.0,0.8432099286578487,0.01,8
16.0,0.8428112524311402,0.01,8
15.0,0.8498462671133044,0.01,7
14.0,0.8670173402584171,0.01,7
13.0,0.8677883762410948,0.01,6
12.0,0.8968227953998451,0.01,6
12.0,0.889107674118248,0.01,6
12.0,0.8960684507606588,0.01,6
11.0,0.8891011803673116,0.01,5
11.0,0.8894985180951474,0.01,5
10.0,0.9105007828570568,0.01,5
10.0,0.9095476560548827,0.01,5
10.0,0.9134875135545322,0.01,5
9.0,0.906035985125824,0.01,4
9.0,0.9069815126105388,0.01,4
9.0,0.9074678248235208,0.01,4
9.0,0.9075242961366192,0.01,4
8.0,0.9259145858540819,0.01,4
8.0,0.9255955574931501,0.01,4
8.0,0.9260260550455219,0.01,4
8.0,0.9276150054688592,0.01,4
7.0,0.9192747481433545,0.01,3
7.0,0.9186739403290562,0.01,3
7.0,0.9187370570633874,0.01,3
7.0,0.9190773637572238,0.01,3
7.0,0.9196036455536326,0.01,3
7.0,0.9244682527874081,0.01,3
7.0,0.9234609286796991,0.01,3
7.0,0.9226170683751239,0.01,3
8.0,0.9103827941813466,0.01,3
8.0,0.9103102539050764,0.01,3
7.0,0.9260392904072171,0.01,3
7.0,0.9252398648177613,0.01,3
7.0,0.924679465868342,0.01,3
7.0,0.924467805010021,0.01,3
7.0,0.9250174240336829,0.01,3
7.0,0.927625788572992,0.01,3
7.0,0.9267325063876087,0.01,3
5.0,0.9372772433164197,0.01,2
5.0,0.937540771931263,0.01,2
5.0,0.9377890115050532,0.01,2
5.0,0.9380249589455628,0.01,2
5.0,0.9382534113771546,0.01,2
5.0,0.9384841041508695,0.01,2
5.0,0.9387816460785203,0.01,2
6.0,0.9217344213312196,0.01,2
6.0,0.9210531862290725,0.01,2
6.0,0.9206614478329633,0.01,2
6.0,0.9204383727281139,0.01,2
6.0,0.920191670677246,0.01,2
6.0,0.9199754264762788,0.01,2
6.0,0.9198669903359463,0.01,2
6.0,0.9198701456654638,0.01,2
6.0,0.9198917064547248,0.01,2
6.0,0.9199515290927579,0.01,2
6.0,0.9199451347906586,0.01,2
6.0,0.919879892724146,0.01,2
6.0,0.9198811963639629,0.01,2
6.0,0.9199621098304266,0.01,2
6.0,0.9200591591986983,0.01,2
6.0,0.9201353837033712,0.01,2
6.0,0.9201962067320598,0.01,2
6.0,0.920263294171238,0.01,2
6.0,0.9203397397732684,0.01,2
6.0,0.9203031013542942,0.01,2
6.0,0.9203725947013705,0.01,2
6.0,0.9204400976865184,0.01,2
6.0,0.9204050063625036,0.01,2
6.0,0.9204484300891912,0.01,2
6.0,0.9204602902598287,0.01,2
6.0,0.9204153293605296,0.01,2
6.0,0.920481296680534,0.01,2
6.0,0.9203468625664363,0.01,2
6.0,0.9203275527533232,0.01,2
6.0,0.9202835797130955,0.01,2
6.0,0.9202012082993054,0.01,2
6.0,0.9201214152279608,0.01,2
6.0,0.9200171554659011,0.01,2
6.0,0.9198831843517881,0.01,2
6.0,0.9197176936390856,0.01,2
6.0,0.9195092240735696,0.01,2
6.0,0.9193074453360319,0.01,2
6.0,0.9192160236647965,0.01,2
6.0,0.9191780528489754,0.01,2
6.0,0.9192459465302559,0.01,2
6.0,0.919749819503253,0.01,2
6.0,0.9205647115869191,0.01,2
6.0,0.9215782239135472,0.01,2
6.0,0.9226373920576467,0.01,2
6.0,0.9237434131765895,0.01,2
6.0,0.922313305942777,0.01,2
4.0,0.9237698579592156,0.01,1
4.0,0.9237698579592156,0.01,1
4.0,0.9237698579592156,0.01,1
4.0,0.9237698579592156,0.01,1
35.0,0.5266042035809616,0.01,30
33.0,0.5679009279906172,0.01,28
30.0,0.6064416719788077,0.01,25
29.0,0.6386644627841824,0.01,24
27.0,0.6668824741022842,0.01,22
24.0,0.7196457467071135,0.01,20
23.0,0.7348825890946652,0.01,19
22.0,0.750790682540238,0.01,18
22.0,0.7515012177768354,0.01,17
21.0,0.7716945358804629,0.01,16
21.0,0.7560534856255284,0.01,15
21.0,0.7788081961802842,0.01,15
21.0,0.7535520540303228,0.01,14
22.0,0.7492994756347477,0.01,14
21.0,0.747196728692118,0.01,13
20.0,0.7597347832950136,0.01,12
24.0,0.28839183978581157,0.2,24
24.0,0.2899465706608952,0.2,23
24.0,0.2792908210579013,0.2,22
23.0,0.28872493913730657,0.2,20
